,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,mod_text
0,947616815194058752,947616815194058752,1514764429000,2018-01-01,01:53:49,?aeianei? ?na GTB,394744649,livvycusack,olivia cusack 🦋,,7 years ago today me and my fam were dressed up dancing on the promenade deck of the cruise boat after 4 weeks travelling round the Caribbean #depressed #canwegoback #newyearsevetherightway,[],[],[],0,0,0,"['#depressed', '#canwegoback', '#newyearsevetherightway']",[],https://twitter.com/livvycusack/status/947616815194058752,False,,0,,,,,,,"[{'user_id': '394744649', 'username': 'livvycusack'}]",,,,,7 years ago today me and my fam were dressed up dancing on the promenade deck of the cruise boat after 4 weeks travelling round the Caribbean   
8,947584808263340032,947584808263340032,1514756798000,2017-12-31,23:46:38,?aeianei? ?na GTB,2297392386,phenomvp,фином,,"Jimmy G just keeps lighting it up 
#Depressed",[],[],[],0,0,0,['#depressed'],[],https://twitter.com/PhenoMVP/status/947584808263340032,False,,0,,,,,,,"[{'user_id': '2297392386', 'username': 'PhenoMVP'}]",,,,,"Jimmy G just keeps lighting it up 
"
9,947583112736681984,947583112736681984,1514756393000,2017-12-31,23:39:53,?aeianei? ?na GTB,64577258,kadiehelz,Kadie,,"I need help, but I don't know if anyone/anything CAN help me. So #depressed. I just want to give up. I'm so angry that my life has come to this point.",[],[],[],0,0,0,['#depressed'],[],https://twitter.com/kadiehelz/status/947583112736681984,False,,0,,,,,,,"[{'user_id': '64577258', 'username': 'kadiehelz'}]",,,,,"I need help, but I don't know if anyone/anything CAN help me. So . I just want to give up. I'm so angry that my life has come to this point."
11,947571580413997056,947571580413997056,1514753644000,2017-12-31,22:54:04,?aeianei? ?na GTB,1511023807,ohheyitsliss_et,Lisset,,AND I have to be at work tomorrow at 10am #depressed,[],[],[],0,0,0,['#depressed'],[],https://twitter.com/ohheyitsliss_et/status/947571580413997056,False,,0,,,,,,,"[{'user_id': '1511023807', 'username': 'ohheyitsliss_et'}]",,,,,AND I have to be at work tomorrow at 10am 
21,947529940462956545,947529940462956545,1514743716000,2017-12-31,20:08:36,?aeianei? ?na GTB,931643379905114113,ungeliebtesm,ᴬˡᵒᶰᵉ-ᵂᵒˡᶠ,,"Kennst du diesen Moment, wenn du Züge, Autos, Springseile, Messer oder Brücken nicht mehr als Gegenstände wahrnimmst, sondern als Möglichkeit dich umzubringen?
#depressed",[],[],[],1,0,2,['#depressed'],[],https://twitter.com/UngeliebtesM/status/947529940462956545,False,,0,,,,,,,"[{'user_id': '931643379905114113', 'username': 'UngeliebtesM'}]",,,,,"Kennst du diesen Moment, wenn du Züge, Autos, Springseile, Messer oder Brücken nicht mehr als Gegenstände wahrnimmst, sondern als Möglichkeit dich umzubringen?
"
24,947511410736664577,947511410736664577,1514739298000,2017-12-31,18:54:58,?aeianei? ?na GTB,986458760,georgiamcax,Georgia,,Actually greeting at the fact I’m too unwell to go out tonight 😭😭😭😭😭😭😭😭😩😩😩😩😩😩 #depressed,[],[],[],2,0,7,['#depressed'],[],https://twitter.com/georgiamcaX/status/947511410736664577,False,,0,,,,,,,"[{'user_id': '986458760', 'username': 'georgiamcaX'}]",,,,,Actually greeting at the fact I’m too unwell to go out tonight 😭😭😭😭😭😭😭😭😩😩😩😩😩😩 
27,947504004287926272,947504004287926272,1514737533000,2017-12-31,18:25:33,?aeianei? ?na GTB,2867809508,solidsmark999,Casey Dixon,,Im getting sick of everything from not being able to sleep to the constant pain and the loneliness i feel constantly im about to just say fuck it to everything!!! #depressed,[],[],[],2,0,1,['#depressed'],[],https://twitter.com/solidsmark999/status/947504004287926272,False,,0,,,,,,,"[{'user_id': '2867809508', 'username': 'solidsmark999'}]",,,,,Im getting sick of everything from not being able to sleep to the constant pain and the loneliness i feel constantly im about to just say fuck it to everything!!! 
29,947503603736043520,947503603736043520,1514737437000,2017-12-31,18:23:57,?aeianei? ?na GTB,740491651664236544,zambuddy2love,Zambuddy2love,,Finding someone to be #depressed with this #newyear,[],[],[],1,0,1,"['#depressed', '#newyear']",[],https://twitter.com/zambuddy2love/status/947503603736043520,False,,0,,,,,,,"[{'user_id': '740491651664236544', 'username': 'zambuddy2love'}]",,,,,Finding someone to be  with this 
31,947496868669304832,947496868669304832,1514735831000,2017-12-31,17:57:11,?aeianei? ?na GTB,719638514334171137,nomoscarydreams,DepressedKid,,"*sigh* a few more minutes......
.....a few more nightmare.

#Depressed #On #NewYear2018",[],[],[],1,0,2,"['#depressed', '#on', '#newyear2018']",[],https://twitter.com/nomoscarydreams/status/947496868669304832,False,,0,,,,,,,"[{'user_id': '719638514334171137', 'username': 'nomoscarydreams'}]",,,,,"*sigh* a few more minutes......
.....a few more nightmare.

  "
32,947496308876763136,947353042319564802,1514735698000,2017-12-31,17:54:58,?aeianei? ?na GTB,1835980890,hauntingnellie,cornelia(nna) street 🌊,,listen to me I am still #depressed but god I LOVEEEEEE HER,[],[],[],1,0,1,['#depressed'],[],https://twitter.com/hauntingnellie/status/947496308876763136,False,,0,,,,,,,"[{'user_id': '1835980890', 'username': 'hauntingnellie'}]",,,,,listen to me I am still  but god I LOVEEEEEE HER
